B
B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	HB	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	AB	AB	-	-	-	AB	AB	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	IB	IB	IB	IB	IB	IB	IB	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	SB	SB	SB	SB	SB	SB	SB	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	B	B	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	B	B	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	B	B	B	-	-	-	-	-	-	B
B	-	-	-	-	B	B	B	B	B	B	B	-	-	-	-	B
B	-	-	-	-	-	-	B	B	B	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	B	B	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	B	B	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	SR	SR	SR	SR	SR	SR	SR	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	IR	IR	IR	IR	IR	IR	IR	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	AR	AR	-	-	-	AR	AR	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	HR	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B
B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
